name|1st Serve %|1st Serve Won %|2nd Serve Won %|1st Serve Effectiveness|Serve Rating|Service Points Won %|Svc. In-play Pts. Won %|Points per Service Game|Pts. Lost per Svc. Game|Break Points Saved %|BPs per Svc. Game|BPs Faced per Set|BPs Faced per Match|Service Games Won %|Svc. Gms. Lost per Set|Svc. Gms. Lost per Match
Brad Gilbert|56.3|72.3|47.7|1.52|315|61.5|61.7|6.59|2.54|60.7|0.61|2.90|7.6|75.9|1.14|3.0
Todd Martin|61.7|75.5|51.1|1.48|344|66.2|64.8|6.50|2.20|64.4|0.46|2.27|6.1|83.6|0.81|2.2
Tim Mayotte|54.6|74.0|47.4|1.56|312|61.9|63.5|6.52|2.48|59.1|0.58|2.91|7.6|76.1|1.19|3.1
Albert Costa|66.8|67.7|52.5|1.29|327|62.6|62.6|6.45|2.41|60.4|0.56|2.72|6.8|77.6|1.08|2.7
Andrei Medvedev|57.4|71.5|48.7|1.47|317|61.8|61.8|6.62|2.53|60.0|0.59|2.79|7.3|76.3|1.11|2.9
Wayne Ferreira|55.4|74.5|50.4|1.48|326|63.7|62.8|6.52|2.37|60.9|0.52|2.52|6.6|79.7|0.98|2.6
Greg Rusedski|58.0|79.8|52.3|1.53|351|68.3|67.7|6.32|2.01|66.2|0.40|2.01|5.2|86.5|0.68|1.8
Robin Soderling|61.1|75.7|51.7|1.47|343|66.4|65.0|6.20|2.09|63.4|0.44|2.15|5.5|83.8|0.79|2.0
Fernando Gonzalez|60.9|74.3|51.5|1.44|337|65.4|65.7|6.32|2.19|63.7|0.47|2.30|6.1|82.9|0.83|2.2
Ivan Ljubicic|58.4|77.5|51.9|1.49|350|66.9|63.4|6.32|2.09|65.0|0.42|2.12|5.4|85.2|0.74|1.9
Pat Cash|58.1|71.7|47.6|1.51|317|61.6|61.8|6.76|2.60|61.0|0.61|2.94|7.9|76.2|1.15|3.1
Guy Forget|58.1|77.8|51.7|1.51|343|66.9|64.9|6.42|2.13|63.9|0.44|2.19|5.8|84.0|0.79|2.1
Mark Philippoussis|57.9|80.0|50.1|1.60|348|67.4|65.9|6.41|2.09|64.3|0.41|2.06|5.5|85.3|0.73|2.0
Henri Leconte|49.9|74.0|49.8|1.49|314|61.9|62.6|6.60|2.52|61.3|0.59|2.87|7.6|77.1|1.11|2.9
Cedric Pioline|57.2|73.5|49.5|1.49|323|63.2|63.5|6.55|2.41|61.0|0.53|2.59|6.8|79.1|1.01|2.7
Sebastien Grosjean|55.7|72.1|52.5|1.37|325|63.4|62.1|6.41|2.35|60.9|0.54|2.61|6.9|78.7|1.02|2.7
Anders Jarryd|54.3|71.9|49.7|1.45|307|61.7|63.1|6.36|2.43|56.0|0.56|2.62|6.4|75.4|1.15|2.8
Magnus Norman|57.8|71.8|50.0|1.44|323|62.6|61.6|6.57|2.45|61.5|0.58|2.79|6.9|77.6|1.07|2.7
Emilio Sanchez|64.7|67.9|50.6|1.34|321|61.8|61.0|6.55|2.50|59.5|0.60|2.89|7.1|75.8|1.17|2.9
