name|1st Srv. Return Won %|2nd Srv. Return Won %|Return Rating|Return Points Won %|Rtn. In-play Pts. Won %|Points per Return Game|Pts. Won per Rtn. Game|Break Points Won %|BPs per Return Game|BPs per Set|BPs per Match|Return Games Won %|Rtn. Gms. Won per Set|Rtn. Gms. Won per Match
Carl Uwe Steeb|30.1|49.7|146|38.0|38.0|6.52|2.48|42.2|0.56|2.66|6.6|23.6|1.12|2.8
Jan Michael Gambill|26.6|49.0|136|35.9|36.2|6.43|2.31|40.1|0.51|2.51|6.2|20.6|1.00|2.5
Robby Ginepri|28.0|50.0|141|36.9|37.4|6.39|2.36|39.7|0.57|2.76|7.1|22.9|1.10|2.8
Agustin Calleri|30.5|50.4|145|38.3|38.0|6.50|2.49|40.0|0.60|2.94|7.4|24.1|1.17|2.9
Andrei Cherkasov|29.1|54.2|151|39.9|40.0|6.70|2.67|41.6|0.63|3.05|7.6|26.3|1.27|3.2
Florian Mayer|29.2|49.6|143|37.2|37.7|6.32|2.35|41.0|0.56|2.70|6.6|23.1|1.10|2.7
Hicham Arazi|29.0|51.5|145|38.2|38.6|6.50|2.48|40.3|0.60|2.84|7.3|24.2|1.15|2.9
Marcelo Filippini|32.4|51.3|150|40.2|39.5|6.69|2.69|39.3|0.68|3.19|7.7|26.5|1.25|3.0
Bernard Tomic|25.2|47.6|126|34.0|36.0|6.28|2.13|36.1|0.48|2.34|6.1|17.1|0.85|2.2
Jacco Eltingh|25.6|47.3|125|34.0|34.5|6.40|2.17|35.9|0.45|2.22|5.7|16.3|0.80|2.0
Marcel Granollers|30.3|48.6|142|37.6|37.2|6.37|2.39|40.1|0.57|2.73|6.8|23.0|1.09|2.7
Paul Henri Mathieu|27.5|50.3|139|36.7|38.6|6.38|2.34|40.1|0.53|2.57|6.4|21.5|1.03|2.6
Richard Fromberg|29.3|48.0|137|36.7|35.9|6.53|2.40|39.0|0.54|2.63|6.8|21.1|1.03|2.7
Taylor Dent|29.2|48.5|140|36.7|36.3|6.40|2.35|40.6|0.53|2.58|6.4|21.7|1.05|2.6
Fernando Meligeni|31.3|51.0|151|39.3|38.4|6.46|2.54|42.4|0.63|2.97|7.4|26.6|1.26|3.2
Franco Squillari|31.6|52.0|152|39.8|39.2|6.58|2.61|40.6|0.67|3.18|7.8|27.3|1.29|3.2
Igor Andreev|29.8|48.2|139|37.0|36.7|6.46|2.39|39.5|0.54|2.63|6.8|21.4|1.04|2.7
Joachim Johansson|22.3|47.1|118|31.6|33.1|6.20|1.96|34.4|0.40|2.04|5.0|13.6|0.70|1.7
Jose Acasuso|29.0|50.4|142|37.2|37.4|6.40|2.38|39.3|0.58|2.78|6.6|22.8|1.09|2.6
Paul Annacone|24.5|49.7|129|33.7|31.1|6.14|2.07|40.4|0.36|1.74|4.7|14.5|0.70|1.9
Peter Lundgren|28.5|50.2|137|37.2|38.5|6.46|2.40|37.4|0.57|2.73|6.8|21.1|1.02|2.5
Richey Reneberg|29.7|52.9|150|39.2|40.1|6.70|2.62|40.9|0.64|3.03|7.6|26.1|1.24|3.1
Viktor Troicki|30.3|49.2|143|37.7|37.6|6.44|2.43|40.4|0.57|2.75|6.9|23.1|1.11|2.8
Bernd Karbacher|29.9|50.7|144|38.4|37.9|6.62|2.54|39.5|0.60|2.88|7.4|23.9|1.14|2.9
Byron Black|28.0|55.0|151|39.4|40.2|6.68|2.63|41.5|0.63|2.96|7.4|26.1|1.23|3.1
David Pate|28.8|47.2|137|36.1|35.2|6.45|2.33|41.3|0.47|2.18|5.6|19.4|0.90|2.3
Martin Verkerk|24.2|46.3|126|32.6|32.8|6.09|1.98|39.1|0.41|2.04|5.3|15.9|0.80|2.1
Paul Haarhuis|29.1|50.2|145|37.9|37.5|6.51|2.47|42.0|0.56|2.65|6.7|23.3|1.11|2.8
Vincent Spadea|29.4|52.0|149|38.7|38.4|6.55|2.53|42.1|0.60|2.86|7.2|25.3|1.20|3.0
Albert Portas|29.1|51.7|147|38.6|38.7|6.49|2.51|41.0|0.61|2.89|7.1|25.1|1.18|2.9
Guillermo Garcia Lopez|29.8|50.4|144|38.0|38.3|6.50|2.47|40.0|0.59|2.82|7.2|23.4|1.13|2.9
Thomaz Bellucci|29.3|49.9|139|37.2|37.1|6.46|2.40|38.8|0.55|2.69|7.0|21.4|1.05|2.7
Andrea Gaudenzi|31.3|51.9|151|39.9|40.1|6.62|2.65|40.7|0.67|3.15|7.8|27.1|1.28|3.2
Bohdan Ulihrach|29.7|52.5|150|39.4|39.7|6.56|2.58|41.5|0.64|3.02|7.5|26.5|1.25|3.1
Kenneth Carlsen|26.7|47.3|128|34.8|34.5|6.39|2.23|37.0|0.47|2.32|5.9|17.3|0.86|2.2
Ronald Agenor|29.5|50.7|145|38.1|38.0|6.50|2.48|40.3|0.60|2.88|7.2|24.3|1.16|2.9
Slava Dosedel|33.7|53.9|161|41.8|41.3|6.71|2.80|42.8|0.72|3.42|8.5|30.8|1.46|3.6
Xavier Malisse|30.3|49.7|145|38.3|38.5|6.43|2.46|41.2|0.59|2.84|7.1|24.1|1.17|2.9
Darren Cahill|28.7|51.1|144|37.7|37.5|6.43|2.42|40.8|0.57|2.74|7.3|23.1|1.12|3.0
Filip Dewulf|28.3|50.5|145|37.2|37.9|6.47|2.41|42.9|0.54|2.58|6.5|23.1|1.11|2.8
Jarkko Nieminen|29.4|51.7|147|38.2|39.1|6.42|2.46|41.7|0.59|2.85|7.3|24.7|1.19|3.0
Leonardo Mayer|27.0|47.7|129|34.8|34.7|6.40|2.23|36.7|0.47|2.32|6.0|17.4|0.85|2.2
Renzo Furlan|31.7|51.1|152|39.6|39.7|6.60|2.62|42.0|0.64|3.04|7.6|26.8|1.27|3.2
Roberto Carretero|29.6|52.3|152|38.1|38.3|6.45|2.46|44.5|0.57|2.71|6.6|25.2|1.21|3.0
Horacio De La Pena|33.8|52.7|163|41.2|40.6|6.54|2.70|45.5|0.67|3.04|7.2|30.5|1.38|3.3
Nicolas Mahut|26.5|46.1|128|34.1|35.0|6.26|2.14|38.4|0.44|2.22|5.7|17.0|0.85|2.2
Sergiy Stakhovsky|27.6|46.7|128|35.0|34.9|6.33|2.21|35.9|0.50|2.44|6.2|17.9|0.88|2.2
Fernando Vicente|31.3|51.1|149|39.1|38.5|6.47|2.53|41.2|0.63|2.96|7.6|25.8|1.22|3.1
Franco Davin|34.7|53.1|166|42.3|42.1|6.61|2.80|45.6|0.72|3.35|8.2|32.8|1.53|3.7
Kelly Evernden|28.6|45.6|132|35.3|34.9|6.34|2.24|38.5|0.51|2.45|6.0|19.6|0.94|2.3
Nicklas Kulti|28.4|50.5|139|37.4|38.0|6.62|2.47|38.2|0.57|2.73|7.1|21.7|1.04|2.7
Paolo Cane|30.7|48.2|137|37.8|38.7|6.51|2.46|36.0|0.61|2.91|7.1|22.0|1.05|2.6
Stefan Koubek|30.2|49.9|145|38.4|37.8|6.47|2.48|41.1|0.58|2.73|7.0|24.0|1.12|2.9
Dan Goldie|29.4|46.0|134|36.8|34.8|6.51|2.39|38.0|0.54|2.68|6.9|20.5|1.02|2.6
Davide Sanguinetti|29.4|49.0|140|37.6|37.2|6.50|2.45|39.0|0.58|2.82|7.2|22.7|1.10|2.8
Gilles Muller|23.6|44.8|116|31.5|32.3|6.16|1.94|34.4|0.38|1.95|5.0|13.2|0.67|1.7
Karim Alami|31.1|48.9|141|38.0|37.2|6.57|2.50|38.4|0.59|2.84|6.9|22.7|1.09|2.7
