name|Aces|Ace %|Aces per Svc. Game|Aces per Set|Aces per Match|Double Faults|Double Fault %|DFs per 2nd Serve %|DFs per Svc. Game|DFs per Set|DFs per Match|Aces / DFs Ratio|Ace Against|Ace Against %|Double Faults Against|Double Fault Against %
Hyung Taik Lee|902|4.2|0.27|1.30|3.4|564|2.6|7.1|0.17|0.81|2.1|1.60|1907|8.9|855|4.0
Igor Kunitsyn|658|3.6|0.24|1.12|2.8|439|2.4|6.1|0.16|0.75|1.8|1.50|1568|8.8|700|3.9
Ivan Dodig|2051|10.5|0.67|3.26|8.2|806|4.1|10.0|0.26|1.28|3.2|2.54|1325|6.8|648|3.3
Jan Vacek|407|5.7|0.38|1.77|4.6|292|4.1|9.7|0.27|1.27|3.3|1.39|481|6.9|335|4.8
Jared Palmer|546|4.5|0.31|1.51|4.0|550|4.6|11.7|0.31|1.52|4.1|0.99|750|6.5|518|4.5
Jeremy Bates|427|4.4|0.29|1.40|3.4|488|5.0|11.3|0.33|1.59|3.9|0.88|772|8.0|459|4.8
Jerome Haehnel|105|5.1|0.33|1.57|4.0|79|3.8|9.0|0.25|1.18|3.0|1.33|176|8.8|74|3.7
Jim Pugh|50|4.6|0.29|1.39|4.2|55|5.1|13.3|0.32|1.53|4.6|0.91|55|4.9|63|5.6
Jordi Burillo|1265|7.8|0.51|2.40|5.9|808|5.0|10.5|0.33|1.53|3.7|1.57|1090|6.7|606|3.7
Jose Francisco Altur|188|3.8|0.25|1.17|2.8|199|4.0|11.6|0.26|1.24|3.0|0.94|141|2.9|193|3.9
Juan Antonio Marin|373|2.6|0.18|0.83|1.9|489|3.5|8.0|0.23|1.09|2.5|0.76|687|5.0|607|4.4
Juan Balcells|458|6.6|0.42|2.09|5.3|189|2.7|9.5|0.17|0.86|2.2|2.42|502|7.3|254|3.7
Julien Boutter|1417|11.8|0.77|3.80|9.7|986|8.2|18.4|0.54|2.64|6.8|1.44|645|5.6|432|3.7
Lars Burgsmuller|928|4.9|0.33|1.54|3.9|888|4.7|11.4|0.31|1.48|3.7|1.05|1237|6.7|820|4.4
Leonardo Lavalle|219|5.4|0.35|1.71|4.2|184|4.5|12.2|0.29|1.44|3.5|1.19|178|4.2|208|4.9
Mark Koevermans|243|4.6|0.29|1.35|3.3|142|2.7|6.1|0.17|0.79|1.9|1.71|238|4.4|144|2.7
Markus Zoecke|995|9.4|0.61|2.97|7.4|377|3.6|9.9|0.23|1.13|2.8|2.64|902|8.8|375|3.7
Mauricio Hadad|126|1.8|0.12|0.56|1.4|216|3.0|8.2|0.20|0.96|2.4|0.58|285|4.0|317|4.4
Michal Tabara|285|4.1|0.27|1.23|3.1|409|5.9|12.3|0.38|1.77|4.5|0.70|567|8.0|384|5.4
Neville Godwin|438|6.1|0.41|1.97|5.3|437|6.1|13.3|0.41|1.97|5.3|1.00|512|7.3|356|5.0
Nicklas Kroon|64|3.1|0.21|1.02|2.7|88|4.2|9.6|0.29|1.40|3.7|0.73|139|7.1|51|2.6
Paolo Lorenzi|1164|5.1|0.33|1.57|4.0|789|3.4|8.3|0.22|1.06|2.7|1.48|1674|7.4|772|3.4
Peter Wessels|902|11.3|0.71|3.58|9.0|327|4.1|10.9|0.26|1.30|3.3|2.76|725|9.0|356|4.4
